"p","lde","len"
"http://dbpedia.org/ontology/wikiPageRedirects",,"Wikipage redirect"
"http://dbpedia.org/ontology/wikiPageDisambiguates",,"Wikipage disambiguates"
"http://dbpedia.org/ontology/league","Liga","league"
"http://dbpedia.org/ontology/draftPick",,"draft pick"
"http://dbpedia.org/ontology/draftRound",,"draft round"
"http://dbpedia.org/ontology/draftYear",,"draft year"
"http://dbpedia.org/ontology/formerTeam",,"former team"
"http://dbpedia.org/ontology/college","College","college"
"http://dbpedia.org/ontology/honours","Ehrungen","honours"
"http://dbpedia.org/ontology/eyeColor","Augenfarbe","eye color"
"http://dbpedia.org/ontology/hairColor","Haarfarbe","hair color"
"http://dbpedia.org/ontology/tournamentRecord","Turnierrekord","tournament record"
"http://dbpedia.org/ontology/office","(politisches) Amt","(political) office"
"http://dbpedia.org/ontology/restingPlacePosition",,"resting place position"
"http://dbpedia.org/ontology/currentRecord",,"current record"
"http://dbpedia.org/ontology/coachingRecord",,"coaching record"
"http://dbpedia.org/ontology/careerPrizeMoney",,"career prize money ($)"
"http://dbpedia.org/ontology/plays",,"plays"
"http://dbpedia.org/ontology/shoots",,"shoots"
"http://dbpedia.org/ontology/trainer","Trainer","trainer"
"http://dbpedia.org/ontology/serviceNumber",,"service number"
"http://dbpedia.org/ontology/billed",,"billed"
"http://dbpedia.org/ontology/networth",,"networth ($)"
"http://dbpedia.org/ontology/undraftedYear",,"undrafted year"
"http://dbpedia.org/ontology/doctoralStudent","Doktorand","doctoral student"
"http://dbpedia.org/ontology/salary","Gehalt ($)","salary ($)"
"http://dbpedia.org/ontology/soundRecording",,"sound recording"
"http://dbpedia.org/ontology/debutTeam",,"debut team"
"http://dbpedia.org/ontology/block","Block","block"
"http://dbpedia.org/ontology/spike","schmettern","spike"
"http://dbpedia.org/ontology/bbr","BBR","BBR"
"http://dbpedia.org/ontology/club","Verein","club"
"http://dbpedia.org/ontology/nationalTeam","Nationalmannschaft","national team"
"http://dbpedia.org/ontology/draftTeam",,"draft team"
"http://dbpedia.org/ontology/portfolio","Portfolio","portfolio"
"http://dbpedia.org/ontology/academicAdvisor",,"academic advisor"
